commandId,sectionId,sectionName,name,isToggle,namedId
4,0,Main,Track: Set volume for selected tracks (MIDI CC/OSC only),0,
5,0,Main,Track: Set pan for selected tracks (MIDI CC/OSC only),0,
6,0,Main,Track: Toggle mute for selected tracks,1,
7,0,Main,Track: Toggle solo for selected tracks,1,
8,0,Main,Track: Toggle FX bypass for selected tracks,1,
9,0,Main,Track: Toggle record arm for selected tracks,1,
10,0,Main,Track: Set mute for selected tracks (MIDI CC/OSC only),0,
11,0,Main,Track: Set solo for selected tracks (MIDI CC/OSC only),0,
12,0,Main,Track: Set volume for master track (MIDI CC/OSC only),0,
13,0,Main,Track: Set pan for master track (MIDI CC/OSC only),0,
14,0,Main,Track: Toggle mute for master track,1,
15,0,Main,Track: Toggle solo for master track,1,
16,0,Main,Track: Toggle FX bypass for master track,1,
18,0,Main,Track: Set mute for master track (MIDI CC/OSC only),0,
19,0,Main,Track: Set solo for master track (MIDI CC/OSC only),0,
20,0,Main,Track: Set volume for track 01 (MIDI CC/OSC only),0,
21,0,Main,Track: Set pan for track 01 (MIDI CC/OSC only),0,
22,0,Main,Track: Toggle mute for track 01,1,
23,0,Main,Track: Toggle solo for track 01,1,
24,0,Main,Track: Toggle FX bypass for track 01,1,
25,0,Main,Track: Toggle record arm for track 01,1,
26,0,Main,Track: Set mute for track 01 (MIDI CC/OSC only),0,
27,0,Main,Track: Set solo for track 01 (MIDI CC/OSC only),0,
28,0,Main,Track: Set volume for track 02 (MIDI CC/OSC only),0,
29,0,Main,Track: Set pan for track 02 (MIDI CC/OSC only),0,
30,0,Main,Track: Toggle mute for track 02,1,
31,0,Main,Track: Toggle solo for track 02,1,
32,0,Main,Track: Toggle FX bypass for track 02,1,
33,0,Main,Track: Toggle record arm for track 02,1,
34,0,Main,Track: Set mute for track 02 (MIDI CC/OSC only),0,
35,0,Main,Track: Set solo for track 02 (MIDI CC/OSC only),0,
36,0,Main,Track: Set volume for track 03 (MIDI CC/OSC only),0,
37,0,Main,Track: Set pan for track 03 (MIDI CC/OSC only),0,
38,0,Main,Track: Toggle mute for track 03,1,
39,0,Main,Track: Toggle solo for track 03,1,
40,0,Main,Track: Toggle FX bypass for track 03,1,
41,0,Main,Track: Toggle record arm for track 03,1,
42,0,Main,Track: Set mute for track 03 (MIDI CC/OSC only),0,
43,0,Main,Track: Set solo for track 03 (MIDI CC/OSC only),0,
44,0,Main,Track: Set volume for track 04 (MIDI CC/OSC only),0,
45,0,Main,Track: Set pan for track 04 (MIDI CC/OSC only),0,
46,0,Main,Track: Toggle mute for track 04,1,
47,0,Main,Track: Toggle solo for track 04,1,
48,0,Main,Track: Toggle FX bypass for track 04,1,
49,0,Main,Track: Toggle record arm for track 04,1,
50,0,Main,Track: Set mute for track 04 (MIDI CC/OSC only),0,
51,0,Main,Track: Set solo for track 04 (MIDI CC/OSC only),0,
52,0,Main,Track: Set volume for track 05 (MIDI CC/OSC only),0,
53,0,Main,Track: Set pan for track 05 (MIDI CC/OSC only),0,
54,0,Main,Track: Toggle mute for track 05,1,
55,0,Main,Track: Toggle solo for track 05,1,
56,0,Main,Track: Toggle FX bypass for track 05,1,
57,0,Main,Track: Toggle record arm for track 05,1,
58,0,Main,Track: Set mute for track 05 (MIDI CC/OSC only),0,
59,0,Main,Track: Set solo for track 05 (MIDI CC/OSC only),0,
60,0,Main,Track: Set volume for track 06 (MIDI CC/OSC only),0,
61,0,Main,Track: Set pan for track 06 (MIDI CC/OSC only),0,
62,0,Main,Track: Toggle mute for track 06,1,
63,0,Main,Track: Toggle solo for track 06,1,
64,0,Main,Track: Toggle FX bypass for track 06,1,
65,0,Main,Track: Toggle record arm for track 06,1,
66,0,Main,Track: Set mute for track 06 (MIDI CC/OSC only),0,
67,0,Main,Track: Set solo for track 06 (MIDI CC/OSC only),0,
68,0,Main,Track: Set volume for track 07 (MIDI CC/OSC only),0,
69,0,Main,Track: Set pan for track 07 (MIDI CC/OSC only),0,
70,0,Main,Track: Toggle mute for track 07,1,
71,0,Main,Track: Toggle solo for track 07,1,
72,0,Main,Track: Toggle FX bypass for track 07,1,
73,0,Main,Track: Toggle record arm for track 07,1,
74,0,Main,Track: Set mute for track 07 (MIDI CC/OSC only),0,
75,0,Main,Track: Set solo for track 07 (MIDI CC/OSC only),0,
76,0,Main,Track: Set volume for track 08 (MIDI CC/OSC only),0,
77,0,Main,Track: Set pan for track 08 (MIDI CC/OSC only),0,
78,0,Main,Track: Toggle mute for track 08,1,
79,0,Main,Track: Toggle solo for track 08,1,
80,0,Main,Track: Toggle FX bypass for track 08,1,
81,0,Main,Track: Toggle record arm for track 08,1,
82,0,Main,Track: Set mute for track 08 (MIDI CC/OSC only),0,
83,0,Main,Track: Set solo for track 08 (MIDI CC/OSC only),0,
84,0,Main,Track: Set volume for track 09 (MIDI CC/OSC only),0,
85,0,Main,Track: Set pan for track 09 (MIDI CC/OSC only),0,
86,0,Main,Track: Toggle mute for track 09,1,
87,0,Main,Track: Toggle solo for track 09,1,
88,0,Main,Track: Toggle FX bypass for track 09,1,
89,0,Main,Track: Toggle record arm for track 09,1,
90,0,Main,Track: Set mute for track 09 (MIDI CC/OSC only),0,
91,0,Main,Track: Set solo for track 09 (MIDI CC/OSC only),0,
92,0,Main,Track: Set volume for track 10 (MIDI CC/OSC only),0,
93,0,Main,Track: Set pan for track 10 (MIDI CC/OSC only),0,
94,0,Main,Track: Toggle mute for track 10,1,
95,0,Main,Track: Toggle solo for track 10,1,
96,0,Main,Track: Toggle FX bypass for track 10,1,
97,0,Main,Track: Toggle record arm for track 10,1,
98,0,Main,Track: Set mute for track 10 (MIDI CC/OSC only),0,
99,0,Main,Track: Set solo for track 10 (MIDI CC/OSC only),0,
100,0,Main,Track: Set volume for track 11 (MIDI CC/OSC only),0,
101,0,Main,Track: Set pan for track 11 (MIDI CC/OSC only),0,
102,0,Main,Track: Toggle mute for track 11,1,
103,0,Main,Track: Toggle solo for track 11,1,
104,0,Main,Track: Toggle FX bypass for track 11,1,
105,0,Main,Track: Toggle record arm for track 11,1,
106,0,Main,Track: Set mute for track 11 (MIDI CC/OSC only),0,
107,0,Main,Track: Set solo for track 11 (MIDI CC/OSC only),0,
108,0,Main,Track: Set volume for track 12 (MIDI CC/OSC only),0,
109,0,Main,Track: Set pan for track 12 (MIDI CC/OSC only),0,
110,0,Main,Track: Toggle mute for track 12,1,
111,0,Main,Track: Toggle solo for track 12,1,
112,0,Main,Track: Toggle FX bypass for track 12,1,
113,0,Main,Track: Toggle record arm for track 12,1,
114,0,Main,Track: Set mute for track 12 (MIDI CC/OSC only),0,
115,0,Main,Track: Set solo for track 12 (MIDI CC/OSC only),0,
116,0,Main,Track: Set volume for track 13 (MIDI CC/OSC only),0,
117,0,Main,Track: Set pan for track 13 (MIDI CC/OSC only),0,
118,0,Main,Track: Toggle mute for track 13,1,
119,0,Main,Track: Toggle solo for track 13,1,
120,0,Main,Track: Toggle FX bypass for track 13,1,
121,0,Main,Track: Toggle record arm for track 13,1,
122,0,Main,Track: Set mute for track 13 (MIDI CC/OSC only),0,
123,0,Main,Track: Set solo for track 13 (MIDI CC/OSC only),0,
124,0,Main,Track: Set volume for track 14 (MIDI CC/OSC only),0,
125,0,Main,Track: Set pan for track 14 (MIDI CC/OSC only),0,
126,0,Main,Track: Toggle mute for track 14,1,
127,0,Main,Track: Toggle solo for track 14,1,
128,0,Main,Track: Toggle FX bypass for track 14,1,
129,0,Main,Track: Toggle record arm for track 14,1,
130,0,Main,Track: Set mute for track 14 (MIDI CC/OSC only),0,
131,0,Main,Track: Set solo for track 14 (MIDI CC/OSC only),0,
132,0,Main,Track: Set volume for track 15 (MIDI CC/OSC only),0,
133,0,Main,Track: Set pan for track 15 (MIDI CC/OSC only),0,
134,0,Main,Track: Toggle mute for track 15,1,
135,0,Main,Track: Toggle solo for track 15,1,
136,0,Main,Track: Toggle FX bypass for track 15,1,
137,0,Main,Track: Toggle record arm for track 15,1,
138,0,Main,Track: Set mute for track 15 (MIDI CC/OSC only),0,
139,0,Main,Track: Set solo for track 15 (MIDI CC/OSC only),0,
140,0,Main,Track: Set volume for track 16 (MIDI CC/OSC only),0,
141,0,Main,Track: Set pan for track 16 (MIDI CC/OSC only),0,
142,0,Main,Track: Toggle mute for track 16,1,
143,0,Main,Track: Toggle solo for track 16,1,
144,0,Main,Track: Toggle FX bypass for track 16,1,
145,0,Main,Track: Toggle record arm for track 16,1,
